,V1
187,-3.91098062218767
188,189.90037308449
189,-571.240898158465
190,454.783781471536
191,429.924154198062
192,401.111144574465
193,389.752482659229
194,519.524096732119
195,509.354137847172
196,494.035414715991
197,138.917616773956
198,157.439776770908
199,121.729651583155
200,-360.36380121195
201,-301.188688927723
202,-358.857231377424
203,1048.54752372017
204,520.833858293335
205,379.345474516816
206,80.7679613650421
207,-733.387894350696
208,-338.358296310795
209,-1468.29755253745
210,-2085.61361050592
211,-329.621579916677
212,-299.662275961171
213,-332.03555727461
214,-395.668542470347
215,-57.6483197694394
216,-84.2088953337325
217,-45.0642397386354
218,1.27517581804688
219,-35.7031901168957
220,-28.3762392761258
221,-464.002333414577
222,-458.59023844323
223,-515.668118835056
224,151.437588823644
225,783.051927002216
226,805.657058471546
227,1127.68660878493
228,1147.14256924707
229,-145.304768143385
230,-116.395198507518
231,-708.301430946029
232,310.409325060608
233,273.088068315822
234,242.58595706354
235,237.532108841763
236,480.909398824881
237,457.782553600315
238,449.494566796799
239,85.9694067476304
240,114.045329936426
241,71.1903678785076
242,-432.852446007528
243,-383.381457060892
244,-429.202283825581
245,1051.28882924982
246,770.421720863544
247,565.191277851026
248,255.112452499463
249,-720.251805593511
250,-137.298200774337
251,-1438.10860717721
252,-1823.92656309109
253,-359.133141604111
254,-332.934538927794
255,-360.547816475259
256,-414.587059445976
257,-215.708939391575
258,-247.304841519476
259,-205.357878772921
260,76.0448547577561
261,40.6677016702521
262,50.8034535745509
263,-397.618330370953
264,-391.019354964048
265,-428.911250902124
266,124.016067276352
267,998.666367949269
268,350.130436710272
269,1194.72075398493
270,994.867817132258
271,-103.650564798154
272,124.606136307782
273,-497.749872191032
274,406.141621854323
275,362.929379605249
276,320.025176635601
277,308.533870719124
278,496.396840778885
279,477.754161903811
280,468.047907506225
281,156.466356146228
282,186.688627544601
283,140.849061628495
284,-382.51974157863
285,-335.307548665053
286,-385.429291037798
287,1219.39017823738
288,748.165738765116
289,398.878206951419
290,-105.547357714655
291,-1091.11812309835
292,-163.918372193443
293,-1297.75067940082
294,-1928.6760145877
295,-402.26762678162
296,-368.87420886444
297,-397.046103767302
298,-458.649391166204
299,-199.179000461423
300,-236.770060052109
301,-185.282716232224
302,71.9325861159176
303,43.7632543485968
304,48.3394555356111
305,-389.284565331375
306,-394.053042163522
307,-430.966977734226
308,293.118922770648
309,940.489126990118
310,284.627778480267
311,1155.76516759091
312,961.78628699435
313,-158.023627734354
314,255.916554156719
315,-435.341812694341
316,375.297724411518
317,344.786407954756
318,296.190651206498
319,288.786533150178
320,530.245469127967
321,513.075478038488
322,501.786176741966
323,145.21037474065
324,167.386650035235
325,118.281498910644
326,-367.614363274314
327,-340.889044905234
328,-373.370094565015
329,1234.73566881879
330,712.628915057871
331,453.017761228415
332,-242.598041408244
333,-1066.60372628001
334,-62.9209602838623
335,-1357.55727109549
336,-1869.8758076108
337,-354.601248500622
338,-329.49056721727
339,-371.295751052889
340,-432.378745356269
341,-128.178437893446
342,-156.098058057262
343,-126.997207230616
344,-50.976894921614
345,-87.4150362320726
346,-89.3239921317901
347,-458.013232963921
348,-454.503969140248
349,-496.568497512763
350,366.313157481898
351,1001.4311103853
352,400.7860484439
353,1071.65546777749
354,1006.59494201771
355,-156.693427352292
356,239.729942596096
357,-393.975603139338
358,381.872295938137
359,345.802399096352
360,302.570314085748
361,304.737989935904
362,519.291164654423
363,509.000892600654
364,498.634339245657
365,159.266784299595
366,188.319366724247
367,135.970421427433
368,-388.101091776531
369,-351.355361488983
370,-382.117443930947
371,1234.41940946113
372,719.076661575533
373,382.358889899053
374,-15.6935450992959
375,-1113.33930586336
376,-213.316328513485
377,-1277.29242558518
378,-1940.10542668609
